GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Snack bar,com.snackbar.cooking.infrastructure.gateways,CookingEntityMapper,23,0,0,0,9,0,3,0,3,0
Snack bar,com.snackbar.productv2.application.usecases,GetProductv2ByIdUseCase,13,0,0,0,5,0,2,0,2,0
Snack bar,com.snackbar.productv2.application.usecases,GetProductv2ByNameUseCase,13,0,0,0,5,0,2,0,2,0
Snack bar,com.snackbar.productv2.application.usecases,CreateProductv2UseCase,13,0,0,0,5,0,2,0,2,0
Snack bar,com.snackbar.productv2.application.usecases,ListProductsv2UseCase,10,0,0,0,4,0,2,0,2,0
Snack bar,com.snackbar.productv2.application.usecases,UpdateProductv2ByIdUseCase,23,0,0,0,7,0,2,0,2,0
Snack bar,com.snackbar.productv2.application.usecases,GetProductsv2ByCategoryUseCase,13,0,0,0,5,0,2,0,2,0
Snack bar,com.snackbar.productv2.application.usecases,DeleteProductv2ByIdUseCase,11,0,0,0,5,0,2,0,2,0
Snack bar,com.snackbar.cooking.infrastructure.persistence,CookingEntity,33,0,0,0,14,0,7,0,7,0
Snack bar,com.snackbar.cooking.infrastructure.persistence,OrderEntityCooking,83,0,0,0,34,0,17,0,17,0
Snack bar,com.snackbar.cooking.infrastructure.persistence,OrderItemEntity,53,0,0,0,22,0,11,0,11,0
Snack bar,com.snackbar.productv2.infrastructure.gateways,Productv2RepositoryGateway,114,0,0,0,28,0,8,0,8,0
Snack bar,com.snackbar.productv2.infrastructure.gateways,Productv2EntityMapper,42,0,0,0,6,0,4,0,4,0
Snack bar,com.snackbar.product.usecase.impl,GetProductUseCaseImpl,39,0,0,0,13,0,4,0,4,0
Snack bar,com.snackbar.product.usecase.impl,CreateProductUseCaseImpl,53,0,0,0,21,0,4,0,4,0
Snack bar,com.snackbar.product.usecase.impl,UpdateProductUseCaseImpl,72,0,0,0,24,0,5,0,5,0
Snack bar,com.snackbar.product.usecase.impl,GetAllProductsUseCaseImpl,33,0,0,0,13,0,3,0,3,0
Snack bar,com.snackbar.product.usecase.impl,DeleteProductUseCaseImpl,34,0,0,0,9,0,3,0,3,0
Snack bar,com.snackbar.product.usecase.impl,GetProductsByCategoryUseCaseImpl,34,0,0,0,13,0,3,0,3,0
Snack bar,com.snackbar.product.usecase.impl,GetProductByNameUseCaseImpl,41,0,0,0,13,0,4,0,4,0
Snack bar,com.snackbar.payment.infrastructure.config,PaymentConfig,78,0,0,0,15,0,15,0,15,0
Snack bar,com.snackbar.payment.infrastructure.config,WebClientConfig,8,0,0,0,4,0,2,0,2,0
